,Trans_ID,Region,Product_category,Sales_date,Cust_ID,Product_ID,Product_Name,Quantity,Unit_Price,Discount,Total_Sales
16,Cleer32n76wX,North America,Clothing,2023-01-23,NQ614014,14283,Product 11,6,61.33,0.16,309.10319999999996
17,sfOQXCU72fRw,Asia,Clothing,2023-10-21,MX148504,17723,Product 20,6,97.41,0.15,496.79099999999994
18,uio3Dev0HKtN,Europe,Furniture,2023-07-11,UF006007,12460,Product 14,1,79.61,0.3,55.727
19,AY7APxPqtDGA,Middle East,Furniture,2023-05-12,SQ098768,16901,Product 2,4,10.68,0.18,35.0304
20,E52P54KIGkPE,Europe,Furniture,2023-02-09,IQ286662,15405,Product 18,4,75.79,0.03,294.0652
21,GLOtFgfhLbGf,Europe,Clothing,2023-03-20,VK381854,11220,Product 14,10,23.81,0.25,178.575
22,Zw2QIeJrv0nb,Middle East,Electronics,2023-05-30,RB425476,18149,Product 20,7,63.14,0.07,411.0414
23,9EL9hOZfOo1W,North America,Electronics,2023-07-13,LL078199,18378,Product 19,3,78.06,0.06,220.12920000000003
24,x8fXPBT661qF,Asia,Furniture,2023-03-17,JS338234,13089,Product 1,4,13.66,0.14,46.9904
25,Hlb6Blx83Y7w,Asia,Furniture,2023-05-30,VY961896,10963,Product 2,2,32.63,0.11,58.0814
26,TY9LSV9jiGhH,Middle East,Clothing,2023-08-15,LI104727,17245,Product 13,9,99.87,0.15,764.0055
27,EfpyC0Wev4GM,Asia,Electronics,2023-03-18,RO458818,16182,Product 3,2,32.75,0.02,64.19
28,3EuPz02DiNXv,North America,Automobile,2023-09-03,LM845453,18378,Product 15,3,68.78,0.16,173.3256
29,CbjOyrw0s1tS,North America,Electronics,2023-07-05,IG528857,15742,Product 19,4,13.13,0.11,46.7428
30,mlBiS39pul3H,North America,Automobile,2023-07-05,GT240601,12368,Product 2,2,20.32,0.27,29.6672
31,P0gLBQCIGn8j,Middle East,Electronics,2023-10-10,VD985070,19414,Product 16,5,33.31,0.0,166.55
32,sJK2lsMxenTH,Asia,Electronics,2023-08-16,CT544724,17632,Product 15,10,17.28,0.09,157.24800000000002
33,MiCABsIgW0cb,Asia,Clothing,2023-08-27,KZ307510,17142,Product 2,6,30.62,0.11,163.51080000000002
34,k7wcGDJE4Rvj,Europe,Automobile,2023-04-19,UO536479,15926,Product 5,10,64.26,0.12,565.488
35,k8hBqxbOcORP,Middle East,Furniture,2023-08-23,DK115354,14925,Product 18,8,87.74,0.3,491.34399999999994
36,LI21wlKvliTY,Europe,Electronics,2023-02-16,TY995602,10084,Product 15,9,55.37,0.25,373.74749999999995
37,BgJprmyjfRST,Asia,Electronics,2023-08-13,QU763041,18245,Product 12,1,31.96,0.06,30.0424
38,IpXm7wfQSN0b,Asia,Furniture,2023-01-15,HC126004,18040,Product 1,4,88.2,0.1,317.52000000000004
39,d9qaXDi0RCOw,North America,Automobile,2023-08-26,DF183370,15388,Product 17,9,45.83,0.01,408.34529999999995
40,ob5tt2mCA682,Asia,Electronics,2023-01-19,HN493483,19581,Product 1,3,80.36,0.06,226.6152
41,GVEZRvB5uKnt,Middle East,Clothing,2023-03-28,JD810420,11067,Product 15,9,74.73,0.18,551.5074000000001
42,w47YHLpyCQrh,North America,Clothing,2023-08-06,CS390628,13607,Product 2,3,62.22,0.09,169.8606
43,8c3cSInkBt6x,Asia,Clothing,2023-02-13,RW305929,16311,Product 6,10,33.62,0.18,275.684
44,C8DrfmU72ivS,Middle East,Clothing,2023-08-17,FU943622,18427,Product 18,7,18.46,0.03,125.34340000000002
45,wTZd9u0PtYrB,Europe,Automobile,2023-02-18,LI416639,15068,Product 10,9,73.09,0.06,618.3414
46,EnScu6ToE45c,Asia,Automobile,2023-01-14,GD553060,19870,Product 13,3,67.23,0.27,147.2337
47,deLryPwUIF4s,Middle East,Automobile,2023-07-05,ZB394921,13844,Product 20,2,40.64,0.02,79.6544
48,L3JbOudZhyD1,Middle East,Furniture,2023-04-07,GY207466,15187,Product 17,3,49.58,0.26,110.0676
49,U5AVUBR2Kmpc,Middle East,Automobile,2023-03-19,IN879028,15427,Product 13,7,81.08,0.27,414.31879999999995
50,naDSP0WLU8ZF,Middle East,Furniture,2023-03-18,WQ081533,15065,Product 13,4,59.31,0.27,173.1852
51,5OR19rYMRRsl,Asia,Clothing,2023-05-22,YH488031,13504,Product 6,4,18.59,0.12,65.4368
52,auOSx6QGx1zK,North America,Electronics,2023-04-07,FY868391,17581,Product 17,9,40.75,0.24,278.73
53,f5Fiut4HfXjx,Europe,Automobile,2023-06-12,RW165509,15625,Product 20,5,35.09,0.14,150.887
54,Z7JIUupC2AO0,Middle East,Furniture,2023-02-10,WF735302,14524,Product 20,7,90.15,0.25,473.2875000000001
55,VGhd2wE3ZbCa,Europe,Furniture,2023-01-09,II844046,11352,Product 7,2,41.11,0.03,79.7534
56,RcKpdWy2pTvw,Asia,Furniture,2023-06-10,ZC224441,12043,Product 19,4,62.48,0.2,199.936
57,pjI91MWtknhT,Asia,Electronics,2023-08-14,TV423631,19189,Product 12,10,19.09,0.25,143.17499999999998
58,hM5259Cn2COA,Asia,Electronics,2023-04-19,US749722,14445,Product 15,3,30.44,0.19,73.9692
59,ZACzyxuZ5vpE,Asia,Furniture,2023-07-04,SE923337,15922,Product 10,5,93.04,0.22,362.856
60,OReUrMGH5rqD,Middle East,Automobile,2023-09-02,OG874620,19825,Product 11,10,98.76,0.07,918.4680000000001
61,XudpTtv6ktcY,Middle East,Electronics,2023-01-29,QE513739,12394,Product 18,10,57.77,0.11,514.153
62,9nqWrgVU70mS,Europe,Clothing,2023-10-13,PI121163,16431,Product 8,10,30.12,0.18,246.98400000000004
63,3Or7FApD2Qt7,North America,Electronics,2023-09-20,SG695285,14383,Product 13,6,92.63,0.03,539.1066
64,jTAjhkmUvrSE,Asia,Electronics,2023-03-21,JW009757,16418,Product 20,2,52.1,0.04,100.032
65,WaEJ3jw4qbzv,Europe,Electronics,2023-01-06,TK800726,10542,Product 12,8,84.57,0.28,487.12319999999994
66,1yaKdNOklUA5,Asia,Electronics,2023-03-30,SZ104871,12329,Product 3,4,10.27,0.25,30.81
67,N0LvDQhz0Xwh,Middle East,Automobile,2023-06-29,KA682287,16435,Product 3,2,53.93,0.09,98.1526
68,4xzj23cmb1oB,Asia,Automobile,2023-10-23,ZF827606,15959,Product 2,2,23.77,0.18,38.982800000000005
69,KgOLNuDwJvTc,North America,Clothing,2023-01-23,CC587221,19571,Product 5,10,36.43,0.09,331.513
70,gAwdZLzVTTdx,Asia,Furniture,2023-03-17,RJ926558,14616,Product 4,1,89.99,0.19,72.8919
71,0Lt9DCWQ98Q9,Middle East,Electronics,2023-07-31,UV170679,14106,Product 17,2,51.48,0.05,97.81199999999998
72,uyej0WowI4Oj,Middle East,Electronics,2023-05-30,CS343736,12589,Product 2,1,31.06,0.11,27.6434
73,Sm5veYZ8ckWC,Europe,Electronics,2023-07-09,AD215411,18865,Product 10,7,49.38,0.23,266.1582
74,LExqPDTwLg2r,Europe,Furniture,2023-07-19,IX238294,16614,Product 17,5,56.1,0.16,235.62
75,4pGocqSspv3f,Asia,Furniture,2023-10-21,AJ603181,18962,Product 11,3,58.48,0.04,168.42239999999998
76,r92UgXL0vAOy,Europe,Furniture,2023-07-18,GL341958,15888,Product 9,8,65.35,0.27,381.64399999999995
77,6nwpy0EtG4s3,North America,Electronics,2023-07-19,WK750922,15929,Product 2,6,41.94,0.19,203.82840000000002
78,qIte6Idvx3fH,Europe,Automobile,2023-08-12,IH289630,11034,Product 11,6,44.79,0.27,196.1802
79,gCFAFy48q5JN,North America,Electronics,2023-01-25,CO422329,18005,Product 8,9,52.68,0.21,374.55480000000006
80,x8AwNO70cOdv,Asia,Furniture,2023-01-16,PN814436,19831,Product 18,8,34.12,0.24,207.44959999999998
81,W3s4u21Vrv70,Europe,Clothing,2023-06-25,OW578801,16683,Product 19,7,41.64,0.24,221.5248
82,HIL3ezodlpCA,North America,Electronics,2023-07-13,II316645,11578,Product 7,3,51.6,0.27,113.00399999999999
83,i7Jdl68jewwR,North America,Clothing,2023-07-06,PX561412,14134,Product 14,3,64.85,0.19,157.5855
84,ltKyCwW9Dpjf,Europe,Clothing,2023-05-21,IL253303,18582,Product 16,3,44.01,0.27,96.3819
85,clW0EWb4kNnr,Europe,Electronics,2023-03-17,LT227034,19726,Product 3,4,68.98,0.24,209.69920000000002
86,3w0KdmcUQad5,Asia,Furniture,2023-06-21,OS234663,15670,Product 7,1,87.47,0.14,75.2242
87,e4q55JfAvQpI,North America,Furniture,2023-05-22,FZ331754,19377,Product 10,7,11.0,0.05,73.14999999999999
88,Ur3CfnRSG103,Asia,Automobile,2023-05-09,GB664358,11813,Product 6,10,93.13,0.04,894.048
89,3JZ98VxmGa4g,Asia,Electronics,2023-09-29,UA991938,18400,Product 15,7,66.74,0.09,425.13379999999995
90,i55JBJZyUnKy,Europe,Automobile,2023-01-17,FO437631,19217,Product 19,4,58.83,0.24,178.8432
91,cRd7GE9iBCAS,North America,Electronics,2023-02-14,UV229309,17030,Product 18,9,29.82,0.09,244.22580000000002
92,T9hR1c9rSA0i,North America,Clothing,2023-08-27,HH351147,11923,Product 7,9,34.35,0.25,231.8625
93,OXM4TWNPlaGS,Middle East,Furniture,2023-03-11,YQ320899,10336,Product 14,7,68.67,0.12,423.0072
94,GDZaCt28tOzD,Middle East,Automobile,2023-02-09,GB533020,19606,Product 19,6,95.02,0.07,530.2115999999999
95,0eukh4dOaEh4,Europe,Clothing,2023-03-08,IS070417,12883,Product 19,3,91.27,0.29,194.4051
96,zAhh4vlbLJB2,North America,Electronics,2023-05-04,FB640353,18905,Product 15,9,95.73,0.16,723.7188
97,h1tXnU5kE5oc,Europe,Electronics,2023-01-13,YJ227132,14561,Product 13,1,62.07,0.13,54.0009
98,vjFgzQOrk7Tc,North America,Automobile,2023-09-11,XJ208859,15624,Product 13,8,24.3,0.19,157.46400000000003
99,h2vYFT5oQQQW,Middle East,Automobile,2023-07-25,DY984432,10474,Product 18,10,10.93,0.06,102.74199999999999
100,4duj1Ix8vp4u,North America,Clothing,2023-09-11,GJ127408,15004,Product 5,9,77.4,0.23,536.3820000000001
101,HASy9Nf1Q0yM,North America,Furniture,2023-06-09,NZ817220,10829,Product 16,4,50.79,0.28,146.27519999999998
102,0NmgFfpoFUHO,Asia,Electronics,2023-10-01,WF612421,13534,Product 5,3,56.94,0.09,155.44619999999998
103,rYBAJItIrhNR,Europe,Electronics,2023-09-07,IL823097,19474,Product 3,8,27.07,0.08,199.23520000000002
104,bxOpSMtMW0hO,North America,Automobile,2023-09-18,OP308659,19866,Product 19,4,69.28,0.17,230.0096
105,ypKyF1yMgGGv,Asia,Furniture,2023-01-05,VO991710,16182,Product 11,6,87.74,0.29,373.77239999999995
106,rrZCUtY7q7jz,Asia,Furniture,2023-04-30,YQ329508,13501,Product 8,3,63.99,0.14,165.0942
107,8sqOyODuWCoS,Asia,Automobile,2023-02-03,MP405509,16661,Product 5,1,65.53,0.11,58.3217
108,uNyQrwFlPaOT,Europe,Electronics,2023-10-25,EQ492459,14066,Product 16,1,41.31,0.22,32.2218
109,gTQv4Qr9xPgY,Europe,Furniture,2023-10-18,YW714567,12666,Product 18,6,68.6,0.09,374.556
110,CZ5T6gb7PI75,North America,Electronics,2023-04-08,OU196471,12859,Product 5,1,36.57,0.27,26.6961
111,6zkbDj5Dar8l,Asia,Furniture,2023-02-28,FT650603,12697,Product 8,4,75.78,0.25,227.34
112,40ZufSK2vvdI,Asia,Automobile,2023-09-26,XX567831,13167,Product 3,9,47.86,0.27,314.44019999999995
113,xHhThPp3Qqn0,Middle East,Automobile,2023-08-10,AM070373,12934,Product 19,3,92.24,0.05,262.88399999999996
114,gyHb0ncueVED,Europe,Furniture,2023-05-10,CP062106,17883,Product 12,5,50.46,0.16,211.93200000000002
115,oR22Dp9Hhr9g,Europe,Electronics,2023-04-05,HN098306,14740,Product 18,4,35.34,0.14,121.56960000000001
116,7o7haq8gWssS,Europe,Furniture,2023-01-18,PJ072371,11921,Product 3,2,42.86,0.19,69.4332
117,Bhy4mOS5G9n8,Asia,Clothing,2023-01-07,KV006635,16061,Product 8,6,95.17,0.23,439.6854
118,6msLa7C5p51a,Middle East,Automobile,2023-06-24,QZ127815,19473,Product 11,5,87.96,0.15,373.8299999999999
119,EX0wgmELoDOu,Asia,Automobile,2023-07-30,YZ941454,13981,Product 16,8,36.57,0.11,260.3784
120,SPhdGbAg8Hxh,Asia,Automobile,2023-08-04,MD858110,12981,Product 19,7,38.92,0.08,250.64480000000003
121,BxFnIZWGwGJU,Europe,Electronics,2023-09-13,MY941202,17647,Product 1,9,66.7,0.21,474.237
122,mgkvtqmlRVyv,North America,Furniture,2023-04-04,NW896585,17920,Product 13,2,43.96,0.16,73.8528
123,knxfUpqGzsOY,North America,Clothing,2023-08-16,DZ888887,13853,Product 19,7,77.59,0.11,483.38570000000004
124,TRA2jI2BuRYA,Middle East,Furniture,2023-04-04,VA691341,15338,Product 17,9,54.59,0.16,412.7004
125,13SixPkC9PRg,Europe,Automobile,2023-03-01,BL699162,10330,Product 8,7,34.39,0.28,173.3256
126,NCCjeZNEa2pa,Europe,Furniture,2023-07-01,KN401765,19485,Product 13,4,72.86,0.26,215.66559999999998
127,JJa4RTuChjCL,Asia,Furniture,2023-07-28,WN880418,18377,Product 11,8,55.05,0.23,339.108
128,Lz7LVlF6Y30D,North America,Clothing,2023-07-08,RJ994167,14454,Product 5,4,64.86,0.29,184.20239999999998
129,Bl7J6e2B0JUm,Middle East,Automobile,2023-01-25,DU151993,15492,Product 6,1,89.84,0.05,85.348
130,1m08Z7VQCCrG,Asia,Clothing,2023-05-20,YZ530692,16239,Product 12,2,12.52,0.26,18.5296
131,4M4EvB7r6tSZ,Middle East,Furniture,2023-09-25,BP707280,12733,Product 14,8,77.79,0.18,510.3024000000001
132,RLp2jiXycGnz,Europe,Electronics,2023-01-07,KK536999,10268,Product 12,1,40.94,0.09,37.2554
133,xtmuHj2f4mCY,Europe,Electronics,2023-03-31,VH836764,11074,Product 10,7,79.23,0.18,454.78020000000004
134,WkTTXf7WsSjL,Europe,Furniture,2023-01-06,PK082812,11927,Product 18,4,18.43,0.26,54.5528
135,Up5wr9GdZKav,Middle East,Electronics,2023-08-28,JG884929,19228,Product 20,5,85.78,0.07,398.87699999999995
136,oKppLKnFEYt4,North America,Furniture,2023-10-22,XW868773,13431,Product 7,8,21.52,0.23,132.5632
137,HWqnpYqXDxoj,North America,Furniture,2023-10-30,YG189135,11617,Product 5,4,12.39,0.17,41.1348
138,mmwfLnMp7wRK,Asia,Automobile,2023-03-17,KS624909,15786,Product 14,9,17.46,0.15,133.56900000000002
139,lNd4MzIjoOR0,Middle East,Clothing,2023-05-21,TE247546,17683,Product 10,5,12.89,0.24,48.982
140,iarQhDluIcFv,Middle East,Clothing,2023-06-11,ZW262254,12794,Product 4,10,92.22,0.11,820.758
141,HITGxg2lsdrl,Europe,Clothing,2023-07-10,YY433050,19359,Product 17,6,28.08,0.06,158.3712
142,47ncitkkpy6I,North America,Electronics,2023-02-10,XG734921,16205,Product 19,5,52.57,0.23,202.39450000000002
143,cex1Ncku8ZjZ,Asia,Furniture,2023-04-06,LO523598,16299,Product 9,9,46.88,0.2,337.53600000000006
144,6i5HxVY1KqpY,North America,Furniture,2023-06-18,IY171145,14816,Product 5,7,25.39,0.28,127.9656
145,RMqOwMaczmbG,Asia,Electronics,2023-02-04,PQ916774,12710,Product 6,5,39.67,0.17,164.63049999999998
146,9sUk4RQxCuqa,Asia,Automobile,2023-08-28,FQ501757,11014,Product 14,2,35.33,0.07,65.71379999999999
147,Dj4onBDds5Y7,Middle East,Electronics,2023-05-06,AE705632,19508,Product 5,6,27.36,0.29,116.55359999999999
148,NIxQPjbX14SI,Middle East,Furniture,2023-10-11,MR748990,18597,Product 15,5,46.44,0.21,183.43800000000002
149,L5suxtMAkL8d,Middle East,Automobile,2023-04-08,BF355390,11259,Product 4,3,30.61,0.01,90.9117
150,RXu5xFUkPWs2,Middle East,Clothing,2023-07-04,QJ002051,13625,Product 9,9,53.47,0.05,457.16849999999994
151,ZxeSUrLkCqNH,Asia,Furniture,2023-01-08,JV855256,11296,Product 19,4,76.25,0.02,298.9
152,NsgQ91bqQTaQ,Europe,Clothing,2023-04-16,LR131056,13748,Product 8,10,49.64,0.05,471.58000000000004
153,xhwtA0FJFlCE,Middle East,Clothing,2023-01-06,GG448164,13454,Product 12,9,48.41,0.09,396.4779
154,r2rRqu2NQCQC,Asia,Electronics,2023-02-08,XD788304,10684,Product 3,3,48.51,0.04,139.7088
155,yJH4QyONISx7,Middle East,Clothing,2023-07-28,QQ750031,10382,Product 18,5,12.89,0.07,59.938500000000005
156,RI0ld17bP4CZ,North America,Automobile,2023-04-11,RQ864751,11628,Product 14,4,10.82,0.07,40.2504
157,s02sljlyqrQ7,North America,Furniture,2023-08-07,AF716547,11292,Product 10,9,11.6,0.3,73.08
158,E893RQTVEH1h,North America,Furniture,2023-02-03,LE866105,19521,Product 12,1,30.18,0.24,22.9368
159,6XMmChY2AiBw,Europe,Clothing,2023-09-30,LH820910,16211,Product 17,4,56.57,0.23,174.2356
160,xDd5wqaTlDb6,Europe,Electronics,2023-09-19,QD545295,13887,Product 2,9,34.69,0.24,237.2796
161,B6ElCchkdcMA,Europe,Clothing,2023-09-08,DS247526,18068,Product 13,2,23.68,0.2,37.888
162,ka0LdXAqoa26,North America,Automobile,2023-05-25,DK023740,14010,Product 11,4,55.72,0.05,211.736
163,29racVi0KYlZ,Europe,Furniture,2023-03-14,YL108226,15817,Product 5,6,95.69,0.03,556.9158
164,e8PcXO1fEEKL,North America,Furniture,2023-09-25,NH183496,10401,Product 15,7,16.34,0.2,91.504
165,G1PqsNaKn5UW,Middle East,Automobile,2023-07-09,OU601690,13200,Product 17,2,14.42,0.04,27.6864
166,1lHFo39igRa0,Asia,Automobile,2023-06-09,LT341253,13103,Product 8,1,16.46,0.2,13.168000000000001
167,h2DxO88tJjzP,Middle East,Furniture,2023-10-07,NC685898,10847,Product 13,6,26.77,0.19,130.1022
168,eP47yUN6807D,Middle East,Automobile,2023-08-10,GA100122,11843,Product 13,8,68.4,0.21,432.28800000000007
169,yOZFr3hGgF8A,Asia,Clothing,2023-08-09,FG304841,13527,Product 2,8,32.24,0.08,237.28640000000001
170,WPL51SHCTCOu,Middle East,Electronics,2023-04-19,BL261168,14322,Product 9,5,23.42,0.29,83.14099999999999
171,9OG0OKlyj2ln,North America,Automobile,2023-10-13,ZF547912,10403,Product 1,1,10.81,0.26,7.9994000000000005
172,HC5ixbSfepf8,North America,Electronics,2023-07-22,YV777821,13634,Product 13,4,14.84,0.1,53.424
173,fWs4LwwoYIzS,Middle East,Electronics,2023-05-30,JB413925,13105,Product 9,10,38.94,0.25,292.04999999999995
174,nof7BYLhMWYs,Middle East,Furniture,2023-10-27,SK068154,11277,Product 8,5,62.79,0.06,295.113
175,loSPPWwJiaiQ,Middle East,Automobile,2023-09-08,DG284052,16640,Product 14,7,58.22,0.23,313.8058
176,KlloohMLzT2m,Europe,Clothing,2023-07-03,BU740379,14447,Product 6,10,96.43,0.23,742.5110000000001
177,UVEplnOkA89q,Asia,Automobile,2023-07-09,LI466740,11897,Product 6,10,92.53,0.11,823.517
178,JJGvzdCS21hc,Europe,Electronics,2023-06-06,SC469534,16408,Product 13,3,15.04,0.11,40.156800000000004
179,hDVjzV7EnPjK,Middle East,Electronics,2023-06-18,JM891726,18506,Product 13,2,43.03,0.1,77.45400000000001
180,T7koHejjBVxv,Asia,Automobile,2023-08-30,JS679108,11690,Product 11,9,79.41,0.27,521.7237
181,MDwW5HxqWTh5,Asia,Clothing,2023-09-17,MY544993,19319,Product 9,1,23.89,0.11,21.2621
182,CGqnZi4dCDOG,Europe,Furniture,2023-06-27,ET455386,11866,Product 10,1,13.29,0.25,9.9675
183,Qs9mpmY2WK6T,Asia,Clothing,2023-10-20,II687628,18466,Product 11,10,71.31,0.09,648.921
184,D4ysyEHnMps5,Asia,Electronics,2023-01-15,XF385761,13245,Product 5,8,75.53,0.01,598.1976
185,aIvd7MYXV3l3,Europe,Automobile,2023-06-22,DI523210,15364,Product 6,7,21.35,0.09,135.9995
186,X92h6xrd5Pz1,Middle East,Electronics,2023-07-13,AM464827,17612,Product 12,5,53.6,0.09,243.88000000000002
187,GIKb3hjJ8gG3,North America,Automobile,2023-03-29,HT780649,12263,Product 9,10,67.33,0.24,511.70799999999997
188,nHJWcda8arpY,Asia,Furniture,2023-10-07,WM054233,11311,Product 18,2,15.06,0.09,27.409200000000002
189,K77jP47Hz9MU,Middle East,Clothing,2023-02-21,LR126806,14955,Product 16,3,52.03,0.2,124.87200000000001
190,ZFNJDhN84Niv,North America,Electronics,2023-10-26,CY230679,12100,Product 7,8,37.74,0.14,259.6512
191,ulgZ34TO0khZ,North America,Furniture,2023-06-19,RW387138,10633,Product 9,7,21.21,0.05,141.0465
192,1Md7FejYqOpD,Middle East,Furniture,2023-01-26,UQ209079,17112,Product 2,7,87.21,0.19,494.4807
193,L8TFrhT5V9Bz,Middle East,Clothing,2023-03-03,TM978924,14809,Product 11,8,70.85,0.09,515.788
194,wQQlXEIqQbl9,Middle East,Clothing,2023-02-14,JA874030,19828,Product 1,2,86.49,0.14,148.7628
195,xLvm8cDAaS4R,North America,Clothing,2023-04-01,XU835786,11429,Product 17,2,42.59,0.27,62.181400000000004
196,LkP8HQ2HufnX,Europe,Furniture,2023-05-08,YD464074,19119,Product 6,4,75.19,0.25,225.57
197,G1gwy2vYtCKK,Asia,Furniture,2023-05-26,MJ613224,15543,Product 17,6,13.95,0.01,82.863
198,nLb58zuy4jqb,North America,Furniture,2023-07-15,LZ287176,18182,Product 3,9,84.16,0.01,749.8656
199,94xeXzep689k,Europe,Automobile,2023-03-24,PQ912373,14483,Product 15,10,43.3,0.06,407.02
200,9mS3Z44zO01g,Europe,Clothing,2023-04-25,HD328486,12159,Product 8,4,70.93,0.15,241.162
201,nMlioNBYvKy0,North America,Clothing,2023-02-18,NT171353,13706,Product 19,8,26.1,0.11,185.83200000000002
202,YzC3zxo4awXq,Asia,Furniture,2023-02-12,IT777106,14266,Product 2,2,76.47,0.19,123.8814
203,5YpeiFvYg97D,Middle East,Furniture,2023-06-04,OP691703,15595,Product 7,5,70.24,0.14,302.032
204,eZfZbey5OI7M,Middle East,Clothing,2023-01-08,CJ416997,19726,Product 12,9,69.19,0.05,591.5745
205,O6Nnr0bg8K7G,North America,Automobile,2023-06-29,UM131566,15063,Product 14,7,28.42,0.13,173.0778
206,pufV1lQcZwyd,Europe,Furniture,2023-03-14,OY928524,17262,Product 11,7,33.1,0.19,187.67700000000002
207,Jw4AI4f1KFeN,Europe,Automobile,2023-02-23,TV930174,13660,Product 12,2,47.57,0.02,93.2372
208,NdmDvsazoHLL,North America,Clothing,2023-07-02,AJ472973,13925,Product 16,4,43.58,0.04,167.3472
209,bRtZlGChYEip,Middle East,Automobile,2023-08-30,DM356970,13396,Product 2,8,19.61,0.26,116.0912
210,7T92qQrdP2iz,Middle East,Automobile,2023-08-31,MY726831,16640,Product 15,2,93.91,0.17,155.89059999999998
211,hMJq4oNdLnC4,Asia,Clothing,2023-05-25,DL143802,12452,Product 19,7,60.73,0.21,335.8369
212,h0izY0mXKWLj,North America,Automobile,2023-09-19,BB033245,11421,Product 4,2,85.18,0.14,146.5096
213,aGQpFy6ChbY3,North America,Electronics,2023-01-13,GW110994,18329,Product 6,4,62.81,0.07,233.6532
214,l2VgsueVOJf3,Asia,Furniture,2023-03-01,QX631939,18597,Product 12,1,28.36,0.13,24.673199999999998
215,Xc4HGpCCvGDO,Middle East,Clothing,2023-10-24,ZT441969,19224,Product 18,8,46.82,0.26,277.1744
216,ovXrlLoxGGhZ,Middle East,Furniture,2023-09-28,EV107462,13105,Product 2,5,98.93,0.01,489.7035
217,WhxYU7lZi8V7,Asia,Clothing,2023-08-01,BO015081,18596,Product 5,6,50.77,0.26,225.4188
218,cMsivvrAvX5O,Europe,Furniture,2023-10-12,ML947409,12957,Product 9,4,99.31,0.07,369.4332
219,DtLXf6qd6yUi,North America,Clothing,2023-02-25,IZ542684,17271,Product 5,9,72.81,0.05,622.5255
220,iOPPDabhYoAB,North America,Clothing,2023-10-15,GH607320,18105,Product 14,3,41.17,0.04,118.56960000000001
221,btm76CQLWIae,Middle East,Clothing,2023-07-02,DR366600,11758,Product 11,10,21.27,0.18,174.41400000000002
222,ukN0NGMGpAfl,Asia,Clothing,2023-06-14,VJ525889,19715,Product 15,6,24.62,0.16,124.0848
223,SVUCnRq0GPGD,Asia,Electronics,2023-03-25,AH815194,18012,Product 15,6,73.78,0.16,371.8512
224,4HF6j9nc6g0S,Asia,Furniture,2023-01-29,NM372492,13979,Product 3,3,36.65,0.18,90.159
225,Iojrzhr08ucD,Middle East,Furniture,2023-08-07,WJ027950,12103,Product 16,10,53.09,0.18,435.3380000000001
226,sUXxoTlQKpjY,North America,Clothing,2023-02-28,SS765323,16389,Product 4,3,95.35,0.13,248.8635
227,FapY3jCFz7k3,North America,Electronics,2023-03-25,AJ900760,11460,Product 19,3,94.12,0.07,262.59479999999996
228,DZDsde9R8jqi,Middle East,Automobile,2023-09-23,BQ404609,10979,Product 1,6,27.97,0.16,140.9688
229,aNlqxWqPmu9H,North America,Furniture,2023-02-21,UT521066,13757,Product 5,1,48.93,0.09,44.5263
230,WGQqUYLbOzLO,Middle East,Automobile,2023-02-04,JZ079804,13106,Product 15,6,70.96,0.24,323.57759999999996
231,K38k4G1ZmP0x,Europe,Furniture,2023-05-19,YU740669,19533,Product 20,4,99.53,0.25,298.59000000000003
